Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,SportsFacility,ATM,ClubHouse,24X7Security,PowerBackup,CarParking,LiftAvailable,furnishing
30.0,3.34,4,1,1,1,1,1,0,1,1,1,0,1,0
7.888,1.045,2,1,1,1,1,1,0,1,1,1,1,1,0
4.866,1.179,2,1,1,1,0,0,0,0,1,0,0,1,0
8.358,1.675,3,0,0,0,0,0,0,0,0,1,0,1,0
6.845,1.67,3,1,1,1,1,1,0,1,1,1,1,1,0
6.797,1.22,2,1,1,1,1,1,0,1,1,1,1,1,0
20.0,2.502,4,1,1,1,0,0,0,1,1,1,1,1,0
7.105,1.438,3,1,0,0,0,0,0,0,1,1,1,1,0
8.405,1.405,3,1,1,1,0,0,0,0,1,1,0,0,0
3.506,0.66,1,1,1,1,1,0,1,1,1,1,1,0,0
7.7,1.362,2,1,1,1,1,0,0,1,1,1,1,1,0
9.369,1.735,3,1,1,1,1,1,0,1,1,1,1,1,0
8.716,1.575,3,1,1,1,1,0,0,0,1,0,0,0,0
5.394,1.12,2,1,1,0,1,0,0,1,0,1,1,1,0
6.367,1.415,3,1,1,1,0,0,0,0,0,1,0,1,0
5.08,1.27,2,1,1,1,1,0,0,0,1,1,1,1,0
7.209999,1.311,3,1,1,1,1,0,0,1,1,1,1,1,0
5.7,1.21,2,1,1,1,0,0,1,1,0,1,1,1,0
30.0,3.34,4,1,1,1,1,1,0,1,1,1,0,1,0
7.888,1.045,2,1,1,1,1,1,0,1,1,1,1,1,0
4.866,1.179,2,1,1,1,0,0,0,0,1,0,0,1,0
8.358,1.675,3,0,0,0,0,0,0,0,0,1,0,1,0
6.845,1.67,3,1,1,1,1,1,0,1,1,1,1,1,0
6.797,1.22,2,1,1,1,1,1,0,1,1,1,1,1,0
20.0,2.502,4,1,1,1,0,0,0,1,1,1,1,1,0
7.105,1.438,3,1,0,0,0,0,0,0,1,1,1,1,0
8.405,1.405,3,1,1,1,0,0,0,0,1,1,0,0,0
3.506,0.66,1,1,1,1,1,0,1,1,1,1,1,0,0
7.7,1.362,2,1,1,1,1,0,0,1,1,1,1,1,0
9.369,1.735,3,1,1,1,1,1,0,1,1,1,1,1,0
8.716,1.575,3,1,1,1,1,0,0,0,1,0,0,0,0
5.394,1.12,2,1,1,0,1,0,0,1,0,1,1,1,0
6.367,1.415,3,1,1,1,0,0,0,0,0,1,0,1,0
5.08,1.27,2,1,1,1,1,0,0,0,1,1,1,1,0
7.209999,1.311,3,1,1,1,1,0,0,1,1,1,1,1,0
5.7,1.21,2,1,1,1,0,0,1,1,0,1,1,1,0
12.4,1.705,3,1,1,1,0,0,0,1,1,1,0,1,0
4.9,1.187,2,1,1,1,1,1,0,1,1,1,0,1,0
30.0,3.34,4,1,1,1,1,1,0,1,1,1,0,1,0
7.888,1.045,2,1,1,1,1,1,0,1,1,1,1,1,0
4.866,1.179,2,1,1,1,0,0,0,0,1,0,0,1,0
8.358,1.675,3,0,0,0,0,0,0,0,0,1,0,1,0
6.845,1.67,3,1,1,1,1,1,0,1,1,1,1,1,0
6.797,1.22,2,1,1,1,1,1,0,1,1,1,1,1,0
20.0,2.502,4,1,1,1,0,0,0,1,1,1,1,1,0
7.105,1.438,3,1,0,0,0,0,0,0,1,1,1,1,0
