Area,Location,City,Price
3340,0,0,30000000
1045,1,0,7888000
1179,2,0,4866000
1675,3,0,8358000
1670,4,0,6845000
1220,5,0,6797000
2502,6,0,20000000
1438,7,0,7105000
1405,8,0,8405000
660,9,0,3506000
1362,10,0,7700000
1735,11,0,9369000
1575,12,0,8716000
1120,13,0,5394000
1415,8,0,6367000
1270,14,0,5080000
1311,15,0,7209999
1210,16,0,5700000
1705,8,0,12400000
1187,17,0,4900000
2293,2,0,9630000
1726,18,0,9458000
2470,19,0,23700000
1570,20,0,7363000
1120,21,0,5489000
1506,22,0,4216000
1040,23,0,4368000
1150,24,0,7600000
1045,5,0,4545000
2480,25,0,23100000
1160,16,0,8000000
1143,16,0,4514000
1300,16,0,5460000
966,26,0,4414000
1245,17,0,8868000
1275,7,0,6133000
1085,27,0,3038000
1286,26,0,7100000
1155,28,0,7506999
1304,8,0,6520000
1120,29,0,6389000
2017,30,0,11700000
1340,31,0,5600000
1304,9,0,4562000
649,7,0,2951000
1108,23,0,4264000
1675,23,0,6698000
718,32,0,8100000
1075,13,0,4500000
1120,33,0,4928000
1350,34,0,6100000
1404,35,0,6151000
1080,17,0,5426000
1800,36,0,13000000
1060,37,0,4850000
1540,38,0,4604000
1110,39,0,3607000
1645,19,0,16500000
1345,40,0,4840000
1866,41,0,25800000
3500,42,0,51000000
1145,9,0,4809000
935,43,0,5070000
1455,44,0,10500000
1305,31,0,6850000
1145,33,0,4580000
1635,8,0,5559000
1145,16,0,4723000
1175,23,0,4465000
1216,33,0,8954000
1005,45,0,4000000
1200,46,0,5400000
1279,47,0,8784000
1180,48,0,7900000
1310,35,0,4781000
1776,49,0,15000000
1125,5,0,4700000
1195,50,0,7767000
1272,6,0,6487000
2170,51,0,14000000
1510,16,0,8758000
1846,52,0,13100000
1170,53,0,5500000
1215,54,0,4900000
1245,2,0,8779000
1833,30,0,22000000
969,55,0,5329000
1100,56,0,7500000
900,57,0,3779999
1306,58,0,9000000
1505,35,0,8218000
1502,21,0,8656000
1675,3,0,7520000
1083,59,0,6148000
1805,17,0,11000000
1880,17,0,11399999
2180,17,0,13000000
1850,17,0,11299999
1188,2,0,4900000
1215,2,0,5002000
1224,2,0,5036000
