Location,City_name
JP Nagar Phase 1,Bangalore
Dasarahalli on Tumkur Road,Bangalore
Kannur on Thanisandra Main Road,Bangalore
Doddanekundi,Bangalore
Kengeri,Bangalore
Horamavu,Bangalore
Thanisandra,Bangalore
Ramamurthy Nagar,Bangalore
Whitefield Hope Farm Junction,Bangalore
Electronic City Phase 1,Bangalore
Yelahanka,Bangalore
Anjanapura,Bangalore
Jalahalli,Bangalore
Kasavanahalli,Bangalore
Bommasandra,Bangalore
Bellandur,Bangalore
RR Nagar,Bangalore
Begur,Bangalore
Hosa Road,Bangalore
Sahakar Nagar,Bangalore
Kadugodi,Bangalore
Jakkur,Bangalore
Jigani,Bangalore
Krishnarajapura,Bangalore
Brookefield,Bangalore
Banashankari,Bangalore
Nelamangala,Bangalore
Attibele,Bangalore
Banaswadi,Bangalore
Kodigehalli,Bangalore
ITPL,Bangalore
Uttarahalli Hobli,Bangalore
Chikkagubbi on Hennur Main Road,Bangalore
Varthur,Bangalore
Vidyaranyapura,Bangalore
Electronic City Phase 2,Bangalore
J. P. Nagar,Bangalore
K. Chudahalli,Bangalore
Narayanaghatta,Bangalore
Anekal City,Bangalore
Sarjapur,Bangalore
Koramangala,Bangalore
Hebbal,Bangalore
Budigere Cross,Bangalore
Bommanahalli,Bangalore
Electronics City,Bangalore
Chikkalasandra,Bangalore
Kogilu,Bangalore
Nayandahalli,Bangalore
Bilekahalli,Bangalore
Muneshwara Nagar,Bangalore
Junnasandra,Bangalore
Narayanapura on Hennur Main Road,Bangalore
Kothanur,Bangalore
Kadugodi Industrial Area,Bangalore
Sarjapur Road Wipro To Railway Crossing,Bangalore
RMV Extension Stage 2,Bangalore
Kudlu,Bangalore
Talaghattapura,Bangalore
Kumbalgodu,Bangalore
Carmelaram,Bangalore
Uttarahalli,Bangalore
Anagalapura Near Hennur Main Road,Bangalore
Avalahalli Off Sarjapur Road,Bangalore
R T  Nagar,Bangalore
JP Nagar Phase 7,Bangalore
Subramanyapura,Bangalore
JP Nagar Phase 4,Bangalore
JP Nagar Phase 8,Bangalore
Amruthahalli,Bangalore
Nagarbhavi,Bangalore
Chandapura,Bangalore
Marsur,Bangalore
JP Nagar Phase 3,Bangalore
JP Nagar Phase 9,Bangalore
Gottigere,Bangalore
Kanakapura Road Beyond Nice Ring Road,Bangalore
Harlur,Bangalore
Konanakunte,Bangalore
Richmond Town,Bangalore
Jayanagar,Bangalore
Domlur,Bangalore
Devanahalli,Bangalore
Hulimavu,Bangalore
Kumaraswamy Layout,Bangalore
Bikasipura,Bangalore
Singasandra,Bangalore
JP Nagar Phase 6,Bangalore
Sanjaynagar,Bangalore
CV Raman Nagar,Bangalore
Padmanabhanagar,Bangalore
Hennur,Bangalore
KPC Layout,Bangalore
R.K. Hegde Nagar,Bangalore
Kannamangala,Bangalore
Yerthiganahalli,Bangalore
Badamanavarthekaval,Bangalore
Kanakapura,Bangalore
Bannerughatta,Bangalore
BTM Layout,Bangalore
Kuvempu Layout on Hennur Main Road,Bangalore
Marathahalli,Bangalore
Rajajinagar,Bangalore
Whitefield,Bangalore
RMV,Bangalore
Bileshivale,Bangalore
Nagawara,Bangalore
HSR Layout,Bangalore
Anjanapura Township,Bangalore
Hurulichikanahalli,Bangalore
Devarachikkana Halli,Bangalore
Sampangiram Nagar,Bangalore
Armane Nagar,Bangalore
Basavanagudi,Bangalore
Yeshwantpur,Bangalore
Battarahalli,Bangalore
K C Krishna Reddy Layout,Bangalore
Adugodi,Bangalore
Kammanahalli,Bangalore
Kalyan Nagar,Bangalore
Kudlu Gate,Bangalore
Kodipalya,Bangalore
Kaggadasapura,Bangalore
Malleswaram,Bangalore
Akshayanagar,Bangalore
Kammmanhalli,Bangalore
Lingarajapuram,Bangalore
Indira Nagar,Bangalore
Nagasandra,Bangalore
Kaval Byrasandra,Bangalore
Sanjay Nagar,Bangalore
Sanjeevini Nagar,Bangalore
Cooke Town,Bangalore
Frazer Town,Bangalore
Vasanth Nagar,Bangalore
